pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
1,"WHITE D. (SG)
Phoenix Hagen",34,1061:02:00,585,158,304,52.00%,52,163,31.90%,210,467,45.00%,113,162,69.80%,64,14,78,151,62,99,3,101,474,-37,0
3,"BRYANT J. (C)
ratiopharm ulm",34,914:08:00,546,167,322,51.90%,38,100,38.00%,205,422,48.60%,98,127,77.20%,272,69,341,52,13,56,49,67,699,168,17
5,"BELL D. (PG)
Phoenix Hagen",34,983:07:00,530,74,189,39.20%,79,200,39.50%,153,389,39.30%,145,161,90.10%,71,11,82,87,38,91,0,75,394,-52,0
2,"BURRELL S. (PG)
Eisbären Bremerhaven",32,1052:27:00,517,172,329,52.30%,23,71,32.40%,195,400,48.80%,104,121,86.00%,52,30,82,137,10,85,4,71,443,-16,0
6,"PEACOCK Z. (PF)
FRAPORT SKYLINERS",33,820:19:00,507,195,357,54.60%,1,8,12.50%,196,365,53.70%,114,159,71.70%,110,62,172,29,38,66,9,106,475,1,3
9,"BROOKS R. (SG)
FRAPORT SKYLINERS",34,1138:35:00,501,145,277,52.30%,42,123,34.20%,187,400,46.80%,85,114,74.60%,111,21,132,67,29,68,5,62,424,-93,0
7,"RICE T. (PG)
FC Bayern München",32,775:10:00,489,104,201,51.70%,46,135,34.10%,150,336,44.60%,143,162,88.30%,47,10,57,146,26,70,2,84,445,208,1
12,"REDDING R. (SF)
WALTER Tigers Tübingen",34,1174:09:00,475,141,267,52.80%,40,110,36.40%,181,377,48.00%,73,90,81.10%,152,33,185,138,37,90,18,97,550,7,2
8,"GAVEL A. (PG)
Brose Baskets",32,945:48:00,473,90,152,59.20%,69,148,46.60%,159,300,53.00%,86,114,75.40%,79,11,90,107,23,43,0,55,481,273,0
13,"TUREK J. (C)
Neckar RIESEN Ludwigsburg",34,885:10:00,472,175,330,53.00%,5,22,22.70%,180,352,51.10%,107,152,70.40%,149,62,211,47,19,72,32,123,492,87,4
15,"THOMPSON D. (PF)
ALBA BERLIN",34,917:21:00,464,165,322,51.20%,1,2,50.00%,166,324,51.20%,131,156,84.00%,104,93,197,20,26,50,15,65,489,32,6
11,"DUGGINS V. (PG)
WALTER Tigers Tübingen",33,1089:44:00,462,133,252,52.80%,41,128,32.00%,174,380,45.80%,73,89,82.00%,70,17,87,68,43,57,3,55,384,-62,0
22,"GORDON L. (SF)
Phoenix Hagen",34,995:03:00,439,110,209,52.60%,48,110,43.60%,158,319,49.50%,75,91,82.40%,151,72,223,49,35,78,11,89,502,-62,4
24,"WEEMS K. (SF)
Telekom Baskets Bonn",34,915:52:00,436,132,248,53.20%,38,121,31.40%,170,369,46.10%,58,73,79.50%,128,35,163,47,20,46,17,93,423,-27,1
16,"ANDERSON D. (PF)
s.Oliver Baskets",32,793:14:00,433,125,215,58.10%,28,100,28.00%,153,315,48.60%,99,129,76.70%,158,72,230,55,56,64,19,90,537,108,5
26,"LINHART N. (SF)
TBB Trier",34,975:19:00,429,116,232,50.00%,30,76,39.50%,146,308,47.40%,107,125,85.60%,154,67,221,69,51,68,18,87,540,85,4
23,"NACHBAR B. (SF)
Brose Baskets",33,771:24:00,425,81,175,46.30%,58,140,41.40%,139,315,44.10%,89,111,80.20%,100,18,118,65,12,44,22,85,400,231,0
27,"STEWART B. (SG)
TBB Trier",34,1028:38:00,425,66,160,41.30%,68,175,38.90%,134,335,40.00%,89,107,83.20%,73,28,101,58,31,51,4,75,349,98,0
30,"PAULDING R. (SF)
EWE Baskets Oldenburg",34,921:12:00,420,91,170,53.50%,60,142,42.30%,151,312,48.40%,58,73,79.50%,88,26,114,64,32,43,8,63,419,221,0
33,"BAILEY B. (SG)
BBC Bayreuth",33,815:48:00,402,89,182,48.90%,25,63,39.70%,114,245,46.50%,149,176,84.70%,70,18,88,90,31,84,1,105,370,0,0
14,"TAYLOR B. (SG)
Artland Dragons",29,818:14:00,397,89,177,50.30%,39,93,41.90%,128,270,47.40%,102,121,84.30%,79,27,106,45,19,41,6,58,371,29,0
38,"JACKSON S. (SG)
Eisbären Bremerhaven",33,1024:24:00,397,137,264,51.90%,16,51,31.40%,153,315,48.60%,75,102,73.50%,100,36,136,86,30,54,0,89,406,-18,0
19,"TROUTMAN C. (PF)
FC Bayern München",29,686:49:00,389,130,187,69.50%,12,36,33.30%,142,223,63.70%,93,120,77.50%,116,54,170,29,19,46,8,80,461,114,2
34,"STAIGER L. (SG)
Neckar RIESEN Ludwigsburg",32,990:10:00,389,44,83,53.00%,80,211,37.90%,124,294,42.20%,61,70,87.10%,87,16,103,60,29,48,0,68,354,-44,0
43,"WOOD D. (PG)
ALBA BERLIN",33,933:27:00,389,90,179,50.30%,52,136,38.20%,142,315,45.10%,53,68,77.90%,57,9,66,113,49,55,2,59,376,151,0
51,"GüNTHER P. (PG)
ratiopharm ulm",34,812:27:00,386,77,168,45.80%,35,72,48.60%,112,240,46.70%,127,146,87.00%,33,6,39,123,13,75,1,44,340,118,0
37,"FORD S. (PF)
Brose Baskets",32,693:35:00,385,97,169,57.40%,37,88,42.10%,134,257,52.10%,80,104,76.90%,127,56,183,19,12,62,36,78,426,188,3
39,"SCHRöDER D. (PG)
New Yorker Phantoms Braunschweig",32,808:40:00,384,87,201,43.30%,42,105,40.00%,129,306,42.20%,84,101,83.20%,58,22,80,102,29,81,1,62,321,-78,0
45,"JENKINS J. (SG)
EWE Baskets Oldenburg",33,819:49:00,383,68,160,42.50%,59,145,40.70%,127,305,41.60%,70,89,78.70%,48,18,66,59,21,31,1,54,302,83,0
41,"HAYNES M. (SG)
Artland Dragons",32,925:50:00,381,71,141,50.40%,58,149,38.90%,129,290,44.50%,65,89,73.00%,51,21,72,103,13,74,7,60,317,-48,0
54,"LISCHKA J. (SF)
WALTER Tigers Tübingen",34,859:19:00,380,119,217,54.80%,20,67,29.90%,139,284,48.90%,82,122,67.20%,164,49,213,29,28,63,12,70,414,-85,5
55,"HESS A. (SF)
Phoenix Hagen",34,798:38:00,378,74,144,51.40%,58,154,37.70%,132,298,44.30%,56,67,83.60%,101,67,168,37,25,32,7,107,406,-37,2
18,"VADEN R. (SF)
Telekom Baskets Bonn",28,870:04:00,376,73,150,48.70%,68,168,40.50%,141,318,44.30%,26,33,78.80%,85,12,97,61,13,57,6,58,312,74,0
56,"FREASE K. (C)
WALTER Tigers Tübingen",34,807:05:00,375,165,301,54.80%,0,1,0.00%,165,302,54.60%,45,80,56.30%,125,57,182,51,15,60,31,69,422,-3,1
46,"VEIKALAS B. (SG)
Telekom Baskets Bonn",32,824:02:00,371,53,103,51.50%,67,155,43.20%,120,258,46.50%,64,76,84.20%,64,21,85,38,16,30,6,69,336,-73,0
62,"JACOBSEN C. (SG)
Brose Baskets",34,972:23:00,370,39,78,50.00%,68,167,40.70%,107,245,43.70%,88,98,89.80%,88,11,99,98,13,34,3,41,401,328,0
49,"RAY A. (SG)
ratiopharm ulm",32,723:53:00,367,96,189,50.80%,42,105,40.00%,138,294,46.90%,49,63,77.80%,49,15,64,54,19,63,2,69,273,101,0
63,"ROBERTSON Q. (SG)
FRAPORT SKYLINERS",34,1259:49:00,366,84,169,49.70%,42,141,29.80%,126,310,40.70%,72,96,75.00%,176,39,215,97,65,71,9,108,473,-15,4
35,"OVCINA E. (C)
LTi GIESSEN 46ers",30,971:28:00,363,92,192,47.90%,49,133,36.80%,141,325,43.40%,32,39,82.10%,174,36,210,105,18,99,9,78,415,-510,7
57,"HARPER B. (PF)
TBB Trier",33,719:56:00,363,127,245,51.80%,12,44,27.30%,139,289,48.10%,73,121,60.30%,105,53,158,32,9,66,12,82,310,47,1
36,"TIMBERLAKE C. (SG)
Mitteldeutscher BC",30,842:03:00,362,129,258,50.00%,10,41,24.40%,139,299,46.50%,74,116,63.80%,72,20,92,101,30,71,8,76,320,-87,2
71,"USKOSKI D. (PF)
Mitteldeutscher BC",34,786:11:00,359,50,90,55.60%,65,158,41.10%,115,248,46.40%,64,91,70.30%,118,45,163,28,13,33,11,75,381,-7,0
74,"BENZING R. (SF)
FC Bayern München",34,744:56:00,356,68,146,46.60%,44,122,36.10%,112,268,41.80%,88,109,80.70%,85,34,119,27,15,39,9,85,310,203,1
64,"CHUBB A. (C)
EWE Baskets Oldenburg",33,808:42:00,355,141,234,60.30%,0,0,0.00%,141,234,60.30%,73,102,71.60%,167,61,228,42,14,61,20,94,476,179,5
76,"MORRISON S. (C)
Eisbären Bremerhaven",34,811:28:00,352,124,224,55.40%,0,3,0.00%,124,227,54.60%,104,140,74.30%,91,68,159,16,15,47,38,108,394,-11,0
67,"PROWELL L. (PF)
FRAPORT SKYLINERS",33,853:56:00,351,87,133,65.40%,43,85,50.60%,130,218,59.60%,48,57,84.20%,88,30,118,37,14,55,16,100,384,-38,0
68,"PROWELL L. (PF)
FRAPORT SKYLINERS",33,853:56:00,351,87,133,65.40%,43,85,50.60%,130,218,59.60%,48,57,84.20%,88,30,118,37,14,55,16,100,384,-38,0
78,"JORDAN J. (PG)
Telekom Baskets Bonn",34,1136:26:00,349,95,164,57.90%,32,102,31.40%,127,266,47.70%,63,86,73.30%,94,35,129,272,35,71,5,72,557,71,6
73,"KING A. (C)
Artland Dragons",33,829:44:00,346,125,241,51.90%,0,1,0.00%,125,242,51.70%,96,120,80.00%,125,79,204,42,19,37,29,75,462,43,4
66,"NASH T. (C)
WALTER Tigers Tübingen",32,908:57:00,343,111,181,61.30%,11,38,29.00%,122,219,55.70%,88,137,64.20%,129,42,171,42,23,45,10,77,398,-65,2
79,"BOONE J. (C)
s.Oliver Baskets",34,778:17:00,343,133,193,68.90%,0,0,0.00%,133,193,68.90%,77,150,51.30%,105,66,171,22,33,75,25,121,386,104,2
70,"TRAPANI J. (PF)
BBC Bayreuth",32,723:05:00,340,101,187,54.00%,18,95,19.00%,119,282,42.20%,84,112,75.00%,120,69,189,22,13,41,10,70,342,-36,2
77,"BURRELL R. (PF)
EWE Baskets Oldenburg",33,718:33:00,340,100,211,47.40%,24,57,42.10%,124,268,46.30%,68,78,87.20%,82,60,142,27,22,57,6,105,326,162,0
83,"MCELROY I. (SF)
New Yorker Phantoms Braunschweig",34,1048:28:00,332,74,137,54.00%,38,104,36.50%,112,241,46.50%,70,86,81.40%,96,34,130,96,33,45,1,52,402,-14,0
86,"VILHJALMSSON H. (PG)
Mitteldeutscher BC",34,810:58:00,326,50,106,47.20%,61,190,32.10%,111,296,37.50%,43,55,78.20%,61,9,70,103,31,71,3,78,265,-51,2
81,"BURTSCHI J. (SF)
Eisbären Bremerhaven",33,953:04:00,325,45,98,45.90%,56,139,40.30%,101,237,42.60%,67,75,89.30%,162,42,204,57,44,35,3,88,454,83,3
89,"ZWIENER P. (SF)
Eisbären Bremerhaven",34,783:38:00,325,90,208,43.30%,18,52,34.60%,108,260,41.50%,91,112,81.30%,78,44,122,50,21,57,4,69,292,-130,1
91,"SEIFERTH A. (C)
TBB Trier",34,835:16:00,322,133,241,55.20%,0,8,0.00%,133,249,53.40%,56,94,59.60%,111,58,169,41,11,61,3,119,331,37,0
92,"MCGHEE G. (C)
BBC Bayreuth",34,879:02:00,321,118,223,52.90%,0,0,0.00%,118,223,52.90%,85,138,61.60%,148,72,220,28,14,64,27,94,388,-55,2
94,"JACKSON J. (SG)
Neckar RIESEN Ludwigsburg",34,867:36:00,320,45,103,43.70%,63,156,40.40%,108,259,41.70%,41,51,80.40%,43,13,56,47,23,41,2,76,246,-72,0
85,"SCHAFFARTZIK H. (PG)
ALBA BERLIN",33,854:55:00,317,37,79,46.80%,57,154,37.00%,94,233,40.30%,72,79,91.10%,51,19,70,97,10,45,0,62,303,52,0
95,"BEIDLER K. (SF)
Mitteldeutscher BC",34,880:16:00,316,99,181,54.70%,13,45,28.90%,112,226,49.60%,79,110,71.80%,114,49,163,56,36,35,14,67,405,10,1
82,"CAIN J. (PF)
BBC Bayreuth",32,691:38:00,314,93,178,52.20%,10,49,20.40%,103,227,45.40%,98,143,68.50%,127,51,178,40,13,82,11,102,305,-86,1
98,"YOUNG J. (PG)
WALTER Tigers Tübingen",34,928:43:00,310,70,115,60.90%,38,110,34.60%,108,225,48.00%,56,78,71.80%,76,34,110,60,28,58,1,95,312,51,0
100,"ESTERKAMP S. (SF)
ratiopharm ulm",34,877:11:00,308,47,93,50.50%,54,137,39.40%,101,230,43.90%,52,64,81.30%,88,23,111,39,20,41,5,73,301,107,0
96,"SIMON N. (PG)
BBC Bayreuth",33,846:20:00,306,46,110,41.80%,56,118,47.50%,102,228,44.70%,46,53,86.80%,57,7,64,42,8,40,0,85,247,7,0
72,"DJEDOVIC N. (SF)
ALBA BERLIN",29,694:32:00,305,76,148,51.40%,17,59,28.80%,93,207,44.90%,102,123,82.90%,83,26,109,53,20,55,5,72,302,110,0
4,"BROOKS R. (SG)
LTi GIESSEN 46ers",19,631:46:00,302,92,168,54.80%,25,67,37.30%,117,235,49.80%,43,57,75.40%,65,10,75,27,18,38,3,34,255,-116,0
65,"DORRIS M. (PG)
Phoenix Hagen",28,605:41:00,301,89,203,43.80%,23,61,37.70%,112,264,42.40%,54,72,75.00%,63,21,84,45,29,55,4,86,238,35,0
93,"THOMAS B. (SF)
FC Bayern München",32,836:17:00,301,73,123,59.30%,35,98,35.70%,108,221,48.90%,50,61,82.00%,64,20,84,43,22,36,3,65,293,123,0
99,"IDBIHI Y. (C)
ALBA BERLIN",33,702:20:00,299,115,223,51.60%,0,1,0.00%,115,224,51.30%,69,84,82.10%,95,61,156,25,8,32,15,74,347,113,0
97,"HOMAN J. (C)
FC Bayern München",32,727:33:00,293,112,258,43.40%,0,0,0.00%,112,258,43.40%,69,131,52.70%,138,50,188,35,18,51,34,84,309,113,2
102,"POPOVIC P. (C)
Artland Dragons",33,492:31:00,291,124,229,54.10%,0,1,0.00%,124,230,53.90%,43,49,87.80%,53,32,85,18,8,49,3,71,244,-36,0
48,"KRAMER C. (SG)
EWE Baskets Oldenburg",25,682:33:00,287,77,142,54.20%,13,41,31.70%,90,183,49.20%,94,114,82.50%,85,14,99,83,44,53,13,42,360,155,0
69,"NANA H. (PF)
New Yorker Phantoms Braunschweig",27,685:47:00,287,67,151,44.40%,36,101,35.60%,103,252,40.90%,45,75,60.00%,113,29,142,32,22,51,3,71,256,-70,1
44,"MALLET D. (SG)
Artland Dragons",24,672:30:00,283,46,91,50.50%,52,113,46.00%,98,204,48.00%,35,39,89.70%,44,5,49,52,20,32,0,55,262,102,0
101,"ZIRBES M. (C)
Brose Baskets",31,611:46:00,274,105,182,57.70%,0,1,0.00%,105,183,57.40%,64,99,64.70%,101,59,160,26,8,40,23,66,338,189,1
119,"ENSMINGER C. (C)
Telekom Baskets Bonn",34,631:04:00,271,103,201,51.20%,0,1,0.00%,103,202,51.00%,65,91,71.40%,100,66,166,31,6,37,6,89,318,-39,1
